HotelBrandID,HotelBrandName
2492,Tivoli Hotels
2493,Vila Gale Hotels
2494,Luna Hoteis
2495,HotelPartner
2496,Fitzgeralds Las Vegas - WWTE
2497,"Pacific Beach Hotel, Waikiki -WWTE"
2498,Innside
2499,Belambra
2500,Lindner Hotels
2501,Cap Vacances
2502,Classic British Hotels
2503,Binion's Gambling Hall & Hotel - WWTE
2504,Peninsula Island Resort & Spa - WWTE
2505,Wyndham Hotels and Resorts - PMI
2506,Travel Portland - PMI
2507,Copthorne
2509,Banyan Tree
2510,Rusticae 
2511,Kukreja Group of Hotels
2512,Fiesta Hotel Group
2513,Hilton Grand Vacations
2514,Ilikai Hotel & Suites - WWTE
2515,Park Shore Waikiki an Aqua Hotel - WWTE
2516,Hotel Wailea Maui - WWTE
2517,Aramark Hotels
2518,Radisson WWTE Super Chain - WWTE
2519,Las Palmas Resort - WWTE
2520,BermudaTourism.com - WWTE
2521,Keys Hotels
2522,Kamath Hotels 
2523,Pride Hotels
2524,Citrus Hotels
2526,SuperClubs
2527,Abad Hotels
2528,Grand Isle Resort & Spa - WWTE
2529,Guoman Hotels
2530,Park & Suites Group
2531,Grand Solmar Hotels & Resorts - WWTE
2532,Missoni Hotels
2533,Autograph Collection Hotels & Resorts
2534,EDITION
2535,El Cid Resorts - WWTE
2536,Almond Resorts
2537,Elite Island Resorts
2538,Coral Hotels & Resorts 
2539,Encanto Resorts - WWTE
2540,Serena Residences - WWTE
2541,Sandcastles Beach Resort Ocho Rios - WWTE
2542,Comfort Inn Oceanfront - WWTE
2543,Hyatt Place Las Vegas - WWTE
2544,Beacon Hotel South Beach - WWTE
2545,Embarcadero Pacifico All Inclusive Resort - WWTE
2546,Seattle Super Savers - WWTE
2547,El Cozumeleno Beach Resort - WWTE
2548,K & K Hotels
2549,Aqua Hotels - WWTE
2550,Somerset
2551,Ascott
2552,CRH - Condominium Rentals Hawaii
2553,Thrifty Inn
2554,Waikiki Sand Villa - WWTE
2555,Ginger Lily - WWTE
2556,Crane Residential Resort - WWTE
2557,Protea
2558,Amrath Hotels
2559,Comitas Hoteles
2560,Consolidated Resorts Management - Soleil Management
2561,Southern Palms Hotel - WWTE
2562,Don Pelayo Suites - WWTE
2563,Ambassador Hotel Amarillo - WWTE
2564,Royal Villas Resort - WWTE
2565,Oxford Suites
2566,Jamaica Hotels - WWTE
2567,Shell Vacations Hospitality - WWTE
2568,Couples Resorts
2569,Fosshotels
2570,Kea Hotels
2571,Waikiki Resort - WWTE
2572,Valentin Imperial Maya - WWTE
2573,Sky Hotels & Resorts - WWTE
2574,Temptation Los Cabos - WWTE
2575,Aldea Thai Resort - WWTE
2576,Mistik Residence Club - WWTE
2577,Bahia Principe
2578,RIU Hotels
2579,Welcom Heritage
2580,Kerzner Bahamas
2581,AmeriTel Inns
2582,Puerto Rico Hotel & Tourism Association-WWTE
2583,Our Lucaya Beach & Golf Resort - WWTE
2584,Insotel
2585,Langham Hotels
2586,Vivanta by Taj
2587,The LaLit
2588,Fortune Hotels
2589,Trident Hotels
2590,Aqua Aloha Surf & Spa - WWTE
2591,Aqua Bamboo & Spa - WWTE
